specie;genus;phylum;protein_name;aa_quantity;gene_name_locus_tag;gene_position;link;gene_genome
Acetobacter_fabarum;Acetobacter;Proteobacteria;propionyl-CoA:succinate_CoA_transferase ;505;B8X00_00945;194780..196297;https://www.ncbi.nlm.nih.gov/protein/PAK79307.1;https://www.ncbi.nlm.nih.gov/nuccore/1238029090
Acetobacter_oryzifermentans;Acetobacter;Proteobacteria;propionyl-CoA:succinate_CoA_transferase ;505;CBI36_05735;1159894..1161411;https://www.ncbi.nlm.nih.gov/protein/ASL40003.1;https://www.ncbi.nlm.nih.gov/nuccore/1216368680
Acetobacter_pomorum;Acetobacter;Proteobacteria;propionyl-CoA:succinate_CoA_transferase ;505;CPF11_02070;429020..430537;https://www.ncbi.nlm.nih.gov/protein/ATI11349.1;https://www.ncbi.nlm.nih.gov/nuccore/1251775788
Acetobacter_syzygii;Acetobacter;Proteobacteria;propionyl-CoA:succinate_CoA_transferase ;499;B9K05_09530;95752..97251;https://www.ncbi.nlm.nih.gov/protein/PAL24003.1;https://www.ncbi.nlm.nih.gov/nuccore/1238077011
Acetobacter_tropicalis;Acetobacter;Proteobacteria;propionyl-CoA:succinate_CoA_transferase ;503;CIW82_00210;40901..42412;https://www.ncbi.nlm.nih.gov/protein/ATJ89372.1;https://www.ncbi.nlm.nih.gov/nuccore/1255927872
Achromobacter_denitrificans;Achromobacter;Proteobacteria;propionyl-CoA:succinate_CoA_transferase ;505;BVK87_17760;2380..3897;https://www.ncbi.nlm.nih.gov/protein/OLU06900.1;https://www.ncbi.nlm.nih.gov/nuccore/1130681948
Achromobacter_insolitus;Achromobacter;Proteobacteria;propionyl-CoA:succinate_CoA_transferase ;505;BUW96_13180;2886857..2888374;https://www.ncbi.nlm.nih.gov/protein/APX75728.1;https://www.ncbi.nlm.nih.gov/nuccore/1134958249
Achromobacter_ruhlandii;Achromobacter;Proteobacteria;propionyl-CoA:succinate_CoA_transferase ;505;CV751_27405;85916..87433;https://www.ncbi.nlm.nih.gov/protein/PJM67060.1;https://www.ncbi.nlm.nih.gov/nuccore/1281355522
Achromobacter_spanius;Achromobacter;Proteobacteria;propionyl-CoA:succinate_CoA_transferase ;505;CVS48_14270;3133569..3135086;https://www.ncbi.nlm.nih.gov/protein/AUA57088.1;https://www.ncbi.nlm.nih.gov/nuccore/1293334197
Achromobacter_xylosoxidans;Achromobacter;Proteobacteria;propionyl-CoA:succinate_CoA_transferase ;505;AL509_06165;1387404..1388921;https://www.ncbi.nlm.nih.gov/protein/AMH04761.1;https://www.ncbi.nlm.nih.gov/nuccore/1339558805
Acidipropionibacterium_jensenii;Acidipropionibacterium;Actinobacteria;propionyl-CoA:succinate_CoA_transferase ;504;C0Z10_10790;2396363..2397877;https://www.ncbi.nlm.nih.gov/protein/AZZ40157.1;https://www.ncbi.nlm.nih.gov/nuccore/1552093028
Acidovorax_carolinensis;Acidovorax;Proteobacteria;propionyl-CoA:succinate_CoA_transferase ;505;CBP33_00320;68744..70261;https://www.ncbi.nlm.nih.gov/protein/ART46778.1;https://www.ncbi.nlm.nih.gov/nuccore/1197416553
Acinetobacter_amyesii;Acinetobacter;Proteobacteria;propionyl-CoA:succinate_CoA_transferase ;505;B1202_06825;320348..321865;https://www.ncbi.nlm.nih.gov/protein/OOV84663.1;https://www.ncbi.nlm.nih.gov/nuccore/1151995447
