specie;genus;phylum;protein_name;aa_quantity;gene_name_locus_tag;gene_position;link;gene_genome
Acetobacter_malorum;Acetobacter;Proteobacteria;Propionate_CoA_transferase;523;AmDm5_0549;45215..46786;https://www.ncbi.nlm.nih.gov/protein/KFL91580.1;https://www.ncbi.nlm.nih.gov/nuccore/674839232
Acetobacter_tropicalis;Acetobacter;Proteobacteria;Propionate_CoA_transferase;529;AtDm6_3185;13076..14665;https://www.ncbi.nlm.nih.gov/protein/KGB21025.1;https://www.ncbi.nlm.nih.gov/nuccore/685623138
Acidovorax_delafieldii;Acidovorax;Proteobacteria;Propionate_CoA_transferase;641;ATF69_3921;6127..8052;https://www.ncbi.nlm.nih.gov/protein/TWG33571.1;https://www.ncbi.nlm.nih.gov/nuccore/1716004177
Actinomadura_mexicana;Actinomadura;Actinobacteria;Propionate_CoA_transferase;529;SAMN06265355_11930;33312..34901;https://www.ncbi.nlm.nih.gov/protein/SNS50290.1;https://www.ncbi.nlm.nih.gov/nuccore/1216184557
Actinoplanes_ferrugineus;Actinoplanes;Actinobacteria;Propionate_CoA_transferase;531;Afe05nite_49760;76119..77714;https://www.ncbi.nlm.nih.gov/protein/GIE13136.1;https://www.ncbi.nlm.nih.gov/nuccore/1968022903
Aerococcus_christensenii;Aerococcus;Firmicutes;Propionate_CoA_transferase;524;HMPREF3187_01087;34131..35705;https://www.ncbi.nlm.nih.gov/protein/KXB36069.1;https://www.ncbi.nlm.nih.gov/nuccore/KQ959310.1
Agrobacterium_tumefaciens;Agrobacterium;Proteobacteria;Propionate_CoA_transferase;537;EDB97_11452;51843..53456;https://www.ncbi.nlm.nih.gov/protein/TCV47544.1;https://www.ncbi.nlm.nih.gov/nuccore/1589285181
Alicyclobacillus_acidoterrestris;Alicyclobacillus;Firmicutes;Propionate_CoA_transferase;522;AAC03nite_02860;266569..268137;https://www.ncbi.nlm.nih.gov/protein/GEO24501.1;https://www.ncbi.nlm.nih.gov/nuccore/1713408881
Aminobacter_aminovorans;Aminobacter;Proteobacteria;Propionate_CoA_transferase;538;EDC40_102144;158733..160349;https://www.ncbi.nlm.nih.gov/protein/TCS28707.1;https://www.ncbi.nlm.nih.gov/nuccore/1588962659
Anaeroglobus_geminatus;Anaeroglobus;Firmicutes;Propionate_CoA_transferase;513;HMPREF0080_00947;3978..5519;https://www.ncbi.nlm.nih.gov/protein/EHM41334.1;https://www.ncbi.nlm.nih.gov/nuccore/AGCJ01000036.1
Anaerospora_hongkongensis;Anaerospora;Firmicutes;Propionate_CoA_transferase;516;EV210_11647;41864..43414;https://www.ncbi.nlm.nih.gov/protein/TCL33945.1;https://www.ncbi.nlm.nih.gov/nuccore/1588261186
Anaerotignum_propionicum;Anaerotignum;Firmicutes;Propionate_CoA_transferase;524;pct;485..2059;https://www.ncbi.nlm.nih.gov/protein/CAB77207.1;https://www.ncbi.nlm.nih.gov/nuccore/7242547
Antarctobacter_heliothermus;Antarctobacter;Proteobacteria;Propionate_CoA_transferase;526;SAMN04488078_107013;10040..11620;https://www.ncbi.nlm.nih.gov/protein/SNT20840.1;https://www.ncbi.nlm.nih.gov/nuccore/1216085054
Aquabacterium_commune;Aquabacterium;Proteobacteria;Propionate_CoA_transferase;538;EV672_103100;118933..120549;https://www.ncbi.nlm.nih.gov/protein/TDP84532.1;https://www.ncbi.nlm.nih.gov/nuccore/1596323671
Aromatoleum_tolulyticum;Aromatoleum;Proteobacteria;Propionate_CoA_transferase;509;SAMN05421829_105187;203213..204742;https://www.ncbi.nlm.nih.gov/protein/SIQ59493.1;https://www.ncbi.nlm.nih.gov/nuccore/1131999844
Azonexus_fungiphilus;Azonexus;Proteobacteria;Propionate_CoA_transferase;537;DFR40_0194;11839..13452;https://www.ncbi.nlm.nih.gov/protein/RKT62860.1;https://www.ncbi.nlm.nih.gov/nuccore/1488984138
Azospirillum_lipoferum;Azospirillum;Proteobacteria;Propionate_CoA_transferase;521;FZ942_19030;259448..261013;https://www.ncbi.nlm.nih.gov/protein/KAA0594900.1;https://www.ncbi.nlm.nih.gov/nuccore/1736119833
