specie;genus;phylum;protein_name;aa_quantity;gene_name_locus_tag;gene_position;link;gene_genome
Achromobacter_aegrifaciens;Achromobacter;Proteobacteria;Carnitine_monooxygenase_subunit_YeaW_(CntA)_(oxygenase);382;yeaW_2;211850..212998;https://www.ncbi.nlm.nih.gov/protein/CAB3675799.1;https://www.ncbi.nlm.nih.gov/nuccore/1838863619
Achromobacter_aegrifaciens;Achromobacter;Proteobacteria;Carnitine_monooxygenase_subunit_YeaX_(CntB)_(reductase);451;LMG26852_01163;1283615..1284970;https://www.ncbi.nlm.nih.gov/protein/CAB3630706.1;https://www.ncbi.nlm.nih.gov/nuccore/1838866357
Achromobacter_animicus;Achromobacter;Proteobacteria;Carnitine_monooxygenase_subunit_YeaW_(CntA)_(oxygenase);381;yeaW;185127..186272;https://www.ncbi.nlm.nih.gov/protein/CAB3891815.1;https://www.ncbi.nlm.nih.gov/nuccore/CADIKU010000011.1
Achromobacter_animicus;Achromobacter;Proteobacteria;Carnitine_monooxygenase_subunit_YeaX_(CntB)_(reductase);783;LMG26691_02552;117250..119601;https://www.ncbi.nlm.nih.gov/protein/CAB3862406.1;https://www.ncbi.nlm.nih.gov/nuccore/1838766874
Achromobacter_anxifer;Achromobacter;Proteobacteria;Carnitine_monooxygenase_subunit_YeaW_(CntA)_(oxygenase);382;yeaW;40553..41701;https://www.ncbi.nlm.nih.gov/protein/CAB3894376.1;https://www.ncbi.nlm.nih.gov/nuccore/1838951761
Achromobacter_anxifer;Achromobacter;Proteobacteria;Carnitine_monooxygenase_subunit_YeaX_(CntB)_(reductase);436;LMG26858_00796;226796..228106;https://www.ncbi.nlm.nih.gov/protein/CAB3832988.1;https://www.ncbi.nlm.nih.gov/nuccore/1838954852
Achromobacter_deleyi;Achromobacter;Proteobacteria;Carnitine_monooxygenase_subunit_YeaW_(CntA)_(oxygenase);388;LMG3482_05684;6078..7244;https://www.ncbi.nlm.nih.gov/protein/CAB3924078.1;https://www.ncbi.nlm.nih.gov/nuccore/1838886712
Achromobacter_deleyi;Achromobacter;Proteobacteria;Carnitine_monooxygenase_subunit_YeaX_(CntB)_(reductase);442;LMG3482_04596;28644..29972;https://www.ncbi.nlm.nih.gov/protein/CAB3906812.1;https://www.ncbi.nlm.nih.gov/nuccore/1838887740
Achromobacter_denitrificans;Achromobacter;Proteobacteria;Carnitine_monooxygenase_subunit_YeaW_(CntA)_(oxygenase);382;yeaW;35988..37136;https://www.ncbi.nlm.nih.gov/protein/CAB3838532.1;https://www.ncbi.nlm.nih.gov/nuccore/1838896502
Achromobacter_denitrificans;Achromobacter;Proteobacteria;Carnitine_monooxygenase_subunit_YeaX_(CntB)_(reductase);472;LMG1231_03107;78094..79512;https://www.ncbi.nlm.nih.gov/protein/CAB3710318.1;https://www.ncbi.nlm.nih.gov/nuccore/1838933484
Achromobacter_dolens;Achromobacter;Proteobacteria;Carnitine_monooxygenase_subunit_YeaW_(CntA)_(oxygenase);382;yeaW;69533..70681;https://www.ncbi.nlm.nih.gov/protein/CAB3918014.1;https://www.ncbi.nlm.nih.gov/nuccore/1838797553
Achromobacter_dolens;Achromobacter;Proteobacteria;Carnitine_monooxygenase_subunit_YeaX_(CntB)_(reductase);325;yeaX;62303..63280;https://www.ncbi.nlm.nih.gov/protein/CAB3920247.1;https://www.ncbi.nlm.nih.gov/nuccore/1838797412
Achromobacter_insolitus;Achromobacter;Proteobacteria;Carnitine_monooxygenase_subunit_YeaW_(CntA)_(oxygenase);382;yeaW;206911..208059;https://www.ncbi.nlm.nih.gov/protein/CAB3950035.1;https://www.ncbi.nlm.nih.gov/nuccore/1838817527
Achromobacter_insolitus;Achromobacter;Proteobacteria;Carnitine_monooxygenase_subunit_YeaX_(CntB)_(reductase);449;LMG6001_05506;38061..39410;https://www.ncbi.nlm.nih.gov/protein/CAB3959376.1;https://www.ncbi.nlm.nih.gov/nuccore/1838814765
Achromobacter_insuavis;Achromobacter;Proteobacteria;Carnitine_monooxygenase_subunit_YeaW_(CntA)_(oxygenase);382;yeaW;14521..15669;https://www.ncbi.nlm.nih.gov/protein/CAB3659484.1;https://www.ncbi.nlm.nih.gov/nuccore/1863887207
Achromobacter_insuavis;Achromobacter;Proteobacteria;Carnitine_monooxygenase_subunit_YeaX_(CntB)_(reductase);325;yeaX;83822..84799;https://www.ncbi.nlm.nih.gov/protein/CAB3623738.1;https://www.ncbi.nlm.nih.gov/nuccore/1863890093
Achromobacter_kerstersii;Achromobacter;Proteobacteria;Carnitine_monooxygenase_subunit_YeaW_(CntA)_(oxygenase);381;yeaW_2;417168..418313;https://www.ncbi.nlm.nih.gov/protein/CAB3693220.1;https://www.ncbi.nlm.nih.gov/nuccore/1838940635
Achromobacter_kerstersii;Achromobacter;Proteobacteria;Carnitine_monooxygenase_subunit_YeaX_(CntB)_(reductase);319;cntB;869753..870712;https://www.ncbi.nlm.nih.gov/protein/CAB3664849.1;https://www.ncbi.nlm.nih.gov/nuccore/1838941133
Achromobacter_marplatensis;Achromobacter;Proteobacteria;Carnitine_monooxygenase_subunit_YeaW_(CntA)_(oxygenase);381;yeaW;124979..126124;https://www.ncbi.nlm.nih.gov/protein/CAB3669532.1;https://www.ncbi.nlm.nih.gov/nuccore/1838913798
Achromobacter_marplatensis;Achromobacter;Proteobacteria;Carnitine_monooxygenase_subunit_YeaX_(CntB)_(reductase);777;LMG26219_00569;650103..652436;https://www.ncbi.nlm.nih.gov/protein/CAB3627635.1;https://www.ncbi.nlm.nih.gov/nuccore/1838916243
Achromobacter_mucicolens;Achromobacter;Proteobacteria;Carnitine_monooxygenase_subunit_YeaW_(CntA)_(oxygenase);381;yeaW;206617..207762;https://www.ncbi.nlm.nih.gov/protein/CAB3870033.1;https://www.ncbi.nlm.nih.gov/nuccore/1838783100
Achromobacter_mucicolens;Achromobacter;Proteobacteria;Carnitine_monooxygenase_subunit_YeaX_(CntB)_(reductase);325;cntB;63214..64191;https://www.ncbi.nlm.nih.gov/protein/CAB3630065.1;https://www.ncbi.nlm.nih.gov/nuccore/1838763490
Achromobacter_pestifer;Achromobacter;Proteobacteria;Carnitine_monooxygenase_subunit_YeaW_(CntA)_(oxygenase);381;yeaW;127145..128290;https://www.ncbi.nlm.nih.gov/protein/CAB3703378.1;https://www.ncbi.nlm.nih.gov/nuccore/1838899478
Achromobacter_pestifer;Achromobacter;Proteobacteria;Carnitine_monooxygenase_subunit_YeaX_(CntB)_(reductase);318;yeaX;431224..432180;https://www.ncbi.nlm.nih.gov/protein/CAB3649317.1;https://www.ncbi.nlm.nih.gov/nuccore/1838901842
Achromobacter_piechaudii;Achromobacter;Proteobacteria;Carnitine_monooxygenase_subunit_YeaW_(CntA)_(oxygenase);425;LMG1861_04361;335759..337036;https://www.ncbi.nlm.nih.gov/protein/CAB3902339.1;https://www.ncbi.nlm.nih.gov/nuccore/1838775529
Achromobacter_piechaudii;Achromobacter;Proteobacteria;Carnitine_monooxygenase_subunit_YeaX_(CntB)_(reductase);441;LMG1861_04156;94474..95799;https://www.ncbi.nlm.nih.gov/protein/CAB3898319.1;https://www.ncbi.nlm.nih.gov/nuccore/1838775529
Achromobacter_pulmonis;Achromobacter;Proteobacteria;Carnitine_monooxygenase_subunit_YeaW_(CntA)_(oxygenase);382;yeaW_2;300288..301436;https://www.ncbi.nlm.nih.gov/protein/CAB3861644.1;https://www.ncbi.nlm.nih.gov/nuccore/1838751131
Achromobacter_pulmonis;Achromobacter;Proteobacteria;Carnitine_monooxygenase_subunit_YeaX_(CntB)_(reductase);325;yeaX;312248..313225;https://www.ncbi.nlm.nih.gov/protein/CAB3869327.1;https://www.ncbi.nlm.nih.gov/nuccore/1838750782
Achromobacter_ruhlandii;Achromobacter;Proteobacteria;Carnitine_monooxygenase_subunit_YeaW_(CntA)_(oxygenase);388;LMG3328_05810;21820..22986;https://www.ncbi.nlm.nih.gov/protein/CAB3925525.1;https://www.ncbi.nlm.nih.gov/nuccore/1838832358
Achromobacter_ruhlandii;Achromobacter;Proteobacteria;Carnitine_monooxygenase_subunit_YeaX_(CntB)_(reductase);441;LMG3328_05652;24534..25859;https://www.ncbi.nlm.nih.gov/protein/CAB3924093.1;https://www.ncbi.nlm.nih.gov/nuccore/1838832501
Achromobacter_spanius;Achromobacter;Proteobacteria;Carnitine_monooxygenase_subunit_YeaW_(CntA)_(oxygenase);388;cntA;53648..54814;https://www.ncbi.nlm.nih.gov/protein/CAB3683393.1;https://www.ncbi.nlm.nih.gov/nuccore/1838845706
Achromobacter_spanius;Achromobacter;Proteobacteria;Carnitine_monooxygenase_subunit_YeaX_(CntB)_(reductase);320;yeaX_2;52683..53645;https://www.ncbi.nlm.nih.gov/protein/CAB3683373.1;https://www.ncbi.nlm.nih.gov/nuccore/1838845706
Achromobacter_xylosoxidans;Achromobacter;Proteobacteria;Carnitine_monooxygenase_subunit_YeaW_(CntA)_(oxygenase);382;yeaW;6543438..6544586;https://www.ncbi.nlm.nih.gov/protein/BEG78906.1;https://www.ncbi.nlm.nih.gov/nuccore/2532961812
Achromobacter_xylosoxidans;Achromobacter;Proteobacteria;Carnitine_monooxygenase_subunit_YeaX_(CntB)_(reductase);325;yeaX;5599501..5600478;https://www.ncbi.nlm.nih.gov/protein/BEG78031.1;https://www.ncbi.nlm.nih.gov/nuccore/2532961812
