specie;genus;phylum;protein_name;aa_quantity;gene_name_locus_tag;gene_position;link;gene_genome
Acetoanaerobium_sticklandii;Acetoanaerobium;Firmicutes;Betaine_reductase_complex_component_B_sub_beta;440;grdH;1214196..1215518;https://www.ncbi.nlm.nih.gov/protein/CBH21180.1;https://www.ncbi.nlm.nih.gov/nuccore/308824094
Acetoanaerobium_sticklandii;Acetoanaerobium;Firmicutes;Betaine_reductase_complex_component_B_sub_alpha;441;grdI;1212857..1214182;https://www.ncbi.nlm.nih.gov/protein/CBH21179.1;https://www.ncbi.nlm.nih.gov/nuccore/308824094
Alkalithermobacter_paradoxus;Alkalithermobacter;Firmicutes;Betaine_reductase_complex_component_B_sub_beta;349;grdH_1;8249..9298;https://www.ncbi.nlm.nih.gov/protein/OPJ54958.1;https://www.ncbi.nlm.nih.gov/nuccore/1159620592
Alkalithermobacter_paradoxus;Alkalithermobacter;Firmicutes;Betaine_reductase_complex_component_B_sub_alpha;441;grdI;6910..8235;https://www.ncbi.nlm.nih.gov/protein/OPJ54957.1;https://www.ncbi.nlm.nih.gov/nuccore/1159620592
Brachyspira_pilosicoli;Brachyspira;Spirochaetota;Betaine_reductase_complex_component_B_sub_beta;351;B2904_orf2053;2097845..2098900;https://www.ncbi.nlm.nih.gov/protein/AFR71382.1;https://www.ncbi.nlm.nih.gov/nuccore/404436164
Brachyspira_pilosicoli;Brachyspira;Spirochaetota;Betaine_reductase_complex_component_B_sub_alpha;NA;NA;NA;NA;NA
Clostridiaceae_bacterium;Clostridiaceae;Firmicutes;Betaine_reductase_complex_component_B_sub_beta;NA;NA;NA;NA;NA
Clostridiaceae_bacterium;Clostridiaceae;Firmicutes;Betaine_reductase_complex_component_B_sub_alpha;441;grdI;1388542..1389867;https://www.ncbi.nlm.nih.gov/protein/1866778255;https://www.ncbi.nlm.nih.gov/nuccore/CADDXC010000001.1
Clostridium_aceticum;Clostridium;Firmicutes;Betaine_reductase_complex_component_B_sub_beta;439;grdH;804591..805910;https://www.ncbi.nlm.nih.gov/protein/AKL94241.1;https://www.ncbi.nlm.nih.gov/nuccore/831185332
Clostridium_aceticum;Clostridium;Firmicutes;Betaine_reductase_complex_component_B_sub_alpha;441;grdI;803252..804577;https://www.ncbi.nlm.nih.gov/protein/AKL94240.1;https://www.ncbi.nlm.nih.gov/nuccore/831185332
Clostridium_argentinense;Clostridium;Firmicutes;Betaine_reductase_complex_component_B_sub_beta;348;grdH;69280..70326;https://www.ncbi.nlm.nih.gov/protein/KIE45752.1;https://www.ncbi.nlm.nih.gov/nuccore/745736135
