specie;genus;phylum;protein_name;aa_quantity;gene_name_locus_tag;gene_position;link;gene_genome
Acetobacter_cerevisiae;Acetobacter;Proteobacteria;Acetyl-CoA_synthetase;641;AD928_03630;5452..7377;https://www.ncbi.nlm.nih.gov/protein/KXU97508.1;https://www.ncbi.nlm.nih.gov/nuccore/1003138186
Acetobacter_indonesiensis;Acetobacter;Proteobacteria;Acetyl-CoA_synthetase;641;Abin_064_005;5498..7423;https://www.ncbi.nlm.nih.gov/protein/GAN64385.1;https://www.ncbi.nlm.nih.gov/nuccore/775250237
Acetobacter_malorum;Acetobacter;Proteobacteria;Acetyl-CoA_synthetase;641;AD933_07840;47654..49579;https://www.ncbi.nlm.nih.gov/protein/KXV15965.1;https://www.ncbi.nlm.nih.gov/nuccore/1003157201
Acetobacter_orientalis;Acetobacter;Proteobacteria;Acetyl-CoA_synthetase;589;Abor_031_003;2013..3782;https://www.ncbi.nlm.nih.gov/protein/GAN66837.1;https://www.ncbi.nlm.nih.gov/nuccore/775233074
Acetobacter_orleanensis;Acetobacter;Proteobacteria;Acetyl-CoA_synthetase;622;AD949_09165;151962..153830;https://www.ncbi.nlm.nih.gov/protein/KXV62944.1;https://www.ncbi.nlm.nih.gov/nuccore/1003206911
Acetobacter_pasteurianus;Acetobacter;Proteobacteria;Acetyl-CoA_synthetase;590;BBA71_11760;2609..4381;https://www.ncbi.nlm.nih.gov/protein/RCL04817.1;https://www.ncbi.nlm.nih.gov/nuccore/1431913568
Acetobacter_senegalensis;Acetobacter;Proteobacteria;Acetyl-CoA_synthetase;653;acs;1513942..1515903;https://www.ncbi.nlm.nih.gov/protein/CEF40904.1;https://www.ncbi.nlm.nih.gov/nuccore/971140326
Acetobacter_syzygii;Acetobacter;Proteobacteria;Acetyl-CoA_synthetase;590;Absy_012_012;9962..11734;https://www.ncbi.nlm.nih.gov/protein/GAN71045.1;https://www.ncbi.nlm.nih.gov/nuccore/775231534
Acetobacter_tropicalis;Acetobacter;Proteobacteria;Acetyl-CoA_synthetase;653;ATR1_452c0045;55385..57346;https://www.ncbi.nlm.nih.gov/protein/GAL99220.1;https://www.ncbi.nlm.nih.gov/nuccore/754389076
Achromobacter_xylosoxidans;Achromobacter;Proteobacteria;Acetyl-CoA_synthetase;511;A7P25_00225;32037..33572;https://www.ncbi.nlm.nih.gov/protein/OCZ91562.1;https://www.ncbi.nlm.nih.gov/nuccore/1055208605
Acinetobacter_baumannii;Acinetobacter;Proteobacteria;Acetyl-CoA_synthetase;649;BL01_07370;1562269..1564218;https://www.ncbi.nlm.nih.gov/protein/AIA51635.1;https://www.ncbi.nlm.nih.gov/nuccore/803657307
Acinetobacter_nosocomialis;Acinetobacter;Proteobacteria;Acetyl-CoA_synthetase;649;RR32_00880;189484..191433;https://www.ncbi.nlm.nih.gov/protein/AJB46751.1;https://www.ncbi.nlm.nih.gov/nuccore/742926533
Acinetobacter_pittii;Acinetobacter;Proteobacteria;Acetyl-CoA_synthetase;649;SD67_13330;40346..42295;https://www.ncbi.nlm.nih.gov/protein/KIE84888.1;https://www.ncbi.nlm.nih.gov/nuccore/746693983
Adlercreutzia_equolifaciens;Adlercreutzia;Actinobacteria;Acetyl-CoA_synthetase;596;C1850_01235;1124..2914;https://www.ncbi.nlm.nih.gov/protein/RDC46578.1;https://www.ncbi.nlm.nih.gov/nuccore/1434279701
Aeromonas_hydrophila;Aeromonas;Proteobacteria;Acetyl-CoA_synthetase;648;HR52_01025;215654..217600;https://www.ncbi.nlm.nih.gov/protein/KER61679.1;https://www.ncbi.nlm.nih.gov/nuccore/663466680
Aeromonas_salmonicida;Aeromonas;Proteobacteria;Acetyl-CoA_synthetase;648;VO68_02630;137064..139010;https://www.ncbi.nlm.nih.gov/protein/KTA78119.1;https://www.ncbi.nlm.nih.gov/nuccore/961688446
Aeromonas_veronii;Aeromonas;Proteobacteria;Acetyl-CoA_synthetase;648;AO728_04825;157259..159205;https://www.ncbi.nlm.nih.gov/protein/KRV67413.1;https://www.ncbi.nlm.nih.gov/nuccore/953579330
Agrobacterium_tumefaciens;Agrobacterium;Proteobacteria;Acetyl-CoA_synthetase;651;EN41_02605;223258..225213;https://www.ncbi.nlm.nih.gov/protein/KEY52473.1;https://www.ncbi.nlm.nih.gov/nuccore/666382609
