specie;genus;phylum;protein_name;aa_quantity;gene_name_locus_tag;gene_position;link;gene_genome
Acinetobacter_calcoaceticus;Acinetobacter;Proteobacteria;Choline_trimethylamine-lyase;1305;cutC;351051..354968;https://www.ncbi.nlm.nih.gov/protein/CAI3145340.1;https://www.ncbi.nlm.nih.gov/nuccore/2318821662
Actinomyces_israelii;Actinomyces;Actinobacteria;Choline_trimethylamine-lyase;820;cutC_2;1647231..1649693;https://www.ncbi.nlm.nih.gov/protein/WKR21445.1;https://www.ncbi.nlm.nih.gov/nuccore/2516688811
Aeromonas_allosaccharophila;Aeromonas;Proteobacteria;Choline_trimethylamine-lyase;1129;cutC;7851..11240;https://www.ncbi.nlm.nih.gov/protein/WP_042658329.1;https://www.ncbi.nlm.nih.gov/nuccore/756857100
Aeromonas_bestiarum;Aeromonas;Proteobacteria;Choline_trimethylamine-lyase;1128;cutC;3345256..3348642;https://www.ncbi.nlm.nih.gov/protein/WDL81457.1;https://www.ncbi.nlm.nih.gov/nuccore/2446999792
Aeromonas_dhakensis;Aeromonas;Proteobacteria;Choline_trimethylamine-lyase;1128;cutC;101875..105261;https://www.ncbi.nlm.nih.gov/protein/WP_010634665.1;https://www.ncbi.nlm.nih.gov/nuccore/NZ_BAFL01000011.1
Aeromonas_hydrophila;Aeromonas;Proteobacteria;Choline_trimethylamine-lyase;1128;cutC;610914..614300;https://www.ncbi.nlm.nih.gov/protein/WP_016350026.1;https://www.ncbi.nlm.nih.gov/nuccore/NZ_LRRY01000002.1
Aeromonas_jandaei;Aeromonas;Proteobacteria;Choline_trimethylamine-lyase;1128;cutC;2043704..2047090;https://www.ncbi.nlm.nih.gov/protein/QWL66365.1;https://www.ncbi.nlm.nih.gov/nuccore/2050251579
Aeromonas_sobria;Aeromonas;Proteobacteria;Choline_trimethylamine-lyase;1129;cutC;4627..8016;https://www.ncbi.nlm.nih.gov/protein/PKQ80775.1;https://www.ncbi.nlm.nih.gov/nuccore/1314809457
Aeromonas_veronii;Aeromonas;Proteobacteria;Choline_trimethylamine-lyase;1128;cutC;157863..161249;https://www.ncbi.nlm.nih.gov/protein/WP_042056268.1;https://www.ncbi.nlm.nih.gov/nuccore/NZ_CDBQ01000013.1
Anaerococcus_hydrogenalis;Anaerococcus;Firmicutes;Choline_trimethylamine-lyase;849;cutC;49494..52043;https://www.ncbi.nlm.nih.gov/protein/WP_004813785.1;https://www.ncbi.nlm.nih.gov/nuccore/NZ_ABXA01000020.1
Anaerococcus_tetradius;Anaerococcus;Firmicutes;Choline_trimethylamine-lyase;849;cutC;69179..71728;https://www.ncbi.nlm.nih.gov/protein/WP_004837436.1;https://www.ncbi.nlm.nih.gov/nuccore/237642425
Anaerococcus_vaginalis;Anaerococcus;Firmicutes;Choline_trimethylamine-lyase;849;cutC;4995..7544;https://www.ncbi.nlm.nih.gov/protein/WP_004839422.1;https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAWGHM010000017.1
Anaerosalibacter_massiliensis;Anaerosalibacter;Firmicutes;Choline_trimethylamine-lyase;849;cutC;NA;https://www.ncbi.nlm.nih.gov/protein/757124476;NA
Anaerospora_hongkongensis;Anaerospora;Firmicutes;Choline_trimethylamine-lyase;847;cutC;255495..258038;https://www.ncbi.nlm.nih.gov/protein/WP_132080764.1;https://www.ncbi.nlm.nih.gov/nuccore/1592171610
Anaerostipes_caccae;Anaerostipes;Firmicutes;Choline_trimethylamine-lyase;803;cutC_3;238648..241059;https://www.ncbi.nlm.nih.gov/protein/GAA5550029.1;https://www.ncbi.nlm.nih.gov/nuccore/2704412701
Atopobium_fossor;Atopobium;Actinobacteria;Choline_trimethylamine-lyase;845;cutC;NA;https://www.ncbi.nlm.nih.gov/protein/654811152;NA
Atribacter_laminatus;Atribacter;Atribacterota;Choline_trimethylamine-lyase;800;cutC;2474098..2476500;https://www.ncbi.nlm.nih.gov/protein/QPM69009.1;https://www.ncbi.nlm.nih.gov/nuccore/1940086973
Bacteroides_fragilis;Bacteroides;Bacteroidetes;Choline_trimethylamine-lyase;689;cutC_2;274573..276642;https://www.ncbi.nlm.nih.gov/protein/2692372806;https://www.ncbi.nlm.nih.gov/nuccore/CAWUGM010000009.1
Blautia_producta;Blautia;Firmicutes;Choline_trimethylamine-lyase;780;cutC_1;3346939..3349281;https://www.ncbi.nlm.nih.gov/protein/QBE97390.1;https://www.ncbi.nlm.nih.gov/nuccore/1575847935
Brenneria_corticis;Brenneria;Proteobacteria;Choline_trimethylamine-lyase;795;cutC;8374..10761;https://www.ncbi.nlm.nih.gov/protein/PWC11902.1;https://www.ncbi.nlm.nih.gov/nuccore/QDKH01000025.1
