specie;genus;phylum;protein_name;aa_quantity;gene_name_locus_tag;gene_position;link;gene_genome
Achromobacter_deleyi;Achromobacter;Proteobacteria;Trimethylamine_N-oxide_reductase_TorA ;837;torA;6137232..6139745;https://www.ncbi.nlm.nih.gov/protein/QQB34328.1;https://www.ncbi.nlm.nih.gov/nuccore/1948614726
Achromobacter_deleyi;Achromobacter;Proteobacteria;Trimethylamine_N-oxide_reductase_TorZ;NA;NA;NA;NA;NA
Achromobacter_dolens;Achromobacter;Proteobacteria;Trimethylamine_N-oxide_reductase_TorA ;841;torA;66894..69419;https://www.ncbi.nlm.nih.gov/protein/WP_054504035.1;https://www.ncbi.nlm.nih.gov/nuccore/935691340
Achromobacter_dolens;Achromobacter;Proteobacteria;Trimethylamine_N-oxide_reductase_TorZ;NA;NA;NA;NA;NA
Achromobacter_insuavis;Achromobacter;Proteobacteria;Trimethylamine_N-oxide_reductase_TorA ;837;torA;827..3340;https://www.ncbi.nlm.nih.gov/protein/WP_006394215.1;https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAJLPH010000131.1
Achromobacter_insuavis;Achromobacter;Proteobacteria;Trimethylamine_N-oxide_reductase_TorZ;NA;NA;NA;NA;NA
Achromobacter_ruhlandii;Achromobacter;Proteobacteria;Trimethylamine_N-oxide_reductase_TorA ;841;torA;24822..27347;https://www.ncbi.nlm.nih.gov/protein/WP_049074707.1;https://www.ncbi.nlm.nih.gov/nuccore/NZ_CADILJ010000062.1
Achromobacter_ruhlandii;Achromobacter;Proteobacteria;Trimethylamine_N-oxide_reductase_TorZ;NA;NA;NA;NA;NA
Achromobacter_xylosoxidans;Achromobacter;Proteobacteria;Trimethylamine_N-oxide_reductase_TorA ;837;torA;7267..9780;https://www.ncbi.nlm.nih.gov/protein/WP_006384799.1;https://www.ncbi.nlm.nih.gov/nuccore/NZ_GL635993.1
Achromobacter_xylosoxidans;Achromobacter;Proteobacteria;Trimethylamine_N-oxide_reductase_TorZ;NA;NA;NA;NA;NA
Actinobacillus_equuli;Actinobacillus;Proteobacteria;Trimethylamine_N-oxide_reductase_TorA ;827;torA;1889883..1892366;https://www.ncbi.nlm.nih.gov/protein/WGE43981.1;https://www.ncbi.nlm.nih.gov/nuccore/2489123146
Actinobacillus_equuli;Actinobacillus;Proteobacteria;Trimethylamine_N-oxide_reductase_TorZ;NA;NA;NA;NA;NA
Actinobacillus_lignieresii;Actinobacillus;Proteobacteria;Trimethylamine_N-oxide_reductase_TorA ;824;torA;NA;https://www.ncbi.nlm.nih.gov/protein/WP_115590145.1;https://www.ncbi.nlm.nih.gov/nuccore/1444975095
Actinobacillus_lignieresii;Actinobacillus;Proteobacteria;Trimethylamine_N-oxide_reductase_TorZ;NA;NA;NA;NA;NA
Actinobacillus_pleuropneumoniae;Actinobacillus;Proteobacteria;Trimethylamine_N-oxide_reductase_TorA ;824;torA;9236..11710;https://www.ncbi.nlm.nih.gov/protein/WP_005597019.1;https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAZDVJ010000061.1
Actinobacillus_pleuropneumoniae;Actinobacillus;Proteobacteria;Trimethylamine_N-oxide_reductase_TorZ;824;torZ;891610..894084;https://www.ncbi.nlm.nih.gov/protein/2006613542;https://www.ncbi.nlm.nih.gov/nuccore/CP026009.1
Actinobacillus_porcinus;Actinobacillus;Proteobacteria;Trimethylamine_N-oxide_reductase_TorA ;821;torA;26485..28950;https://www.ncbi.nlm.nih.gov/protein/WP_135709162.1;https://www.ncbi.nlm.nih.gov/nuccore/NZ_CAMEEL010000014.1
Actinobacillus_porcinus;Actinobacillus;Proteobacteria;Trimethylamine_N-oxide_reductase_TorZ;NA;NA;NA;NA;NA
Actinobacillus_seminis;Actinobacillus;Proteobacteria;Trimethylamine_N-oxide_reductase_TorA ;829;CFY87_10695;31773..34262;https://www.ncbi.nlm.nih.gov/protein/OZN24153.1;https://www.ncbi.nlm.nih.gov/nuccore/1234791466
Actinobacillus_seminis;Actinobacillus;Proteobacteria;Trimethylamine_N-oxide_reductase_TorZ;NA;NA;NA;NA;NA
Actinobacillus_succinogenes;Actinobacillus;Proteobacteria;Trimethylamine_N-oxide_reductase_TorA ;825;CBG46_00740;164748..167225;https://www.ncbi.nlm.nih.gov/protein/PHI39305.1;https://www.ncbi.nlm.nih.gov/nuccore/1267601846
Actinobacillus_succinogenes;Actinobacillus;Proteobacteria;Trimethylamine_N-oxide_reductase_TorZ;NA;NA;NA;NA;NA
Actinobacillus_suis;Actinobacillus;Proteobacteria;Trimethylamine_N-oxide_reductase_TorA ;824;torA;9216..11690;https://www.ncbi.nlm.nih.gov/protein/WP_014991462.1;https://www.ncbi.nlm.nih.gov/nuccore/NZ_MTBX01000080.1
Actinobacillus_suis;Actinobacillus;Proteobacteria;Trimethylamine_N-oxide_reductase_TorZ;NA;NA;NA;NA;NA
Aeromonas_allosaccharophila;Aeromonas;Proteobacteria;Trimethylamine_N-oxide_reductase_TorA ;826;torA;54115..56595;https://www.ncbi.nlm.nih.gov/protein/WP_042063813.1;https://www.ncbi.nlm.nih.gov/nuccore/NZ_CDCB01000128.1
Aeromonas_allosaccharophila;Aeromonas;Proteobacteria;Trimethylamine_N-oxide_reductase_TorZ;NA;NA;NA;NA;NA
Aeromonas_caviae;Aeromonas;Proteobacteria;Trimethylamine_N-oxide_reductase_TorA ;826;torA;9366..11846;https://www.ncbi.nlm.nih.gov/protein/WP_039041037.1;https://www.ncbi.nlm.nih.gov/nuccore/NZ_JWJP01000049.1
Aeromonas_caviae;Aeromonas;Proteobacteria;Trimethylamine_N-oxide_reductase_TorZ;NA;NA;NA;NA;NA
Aeromonas_dhakensis;Aeromonas;Proteobacteria;Trimethylamine_N-oxide_reductase_TorA ;830;torA;6642..9134;https://www.ncbi.nlm.nih.gov/protein/WP_005298055.1;https://www.ncbi.nlm.nih.gov/nuccore/NZ_JDWD01000190.1
Aeromonas_dhakensis;Aeromonas;Proteobacteria;Trimethylamine_N-oxide_reductase_TorZ;NA;NA;NA;NA;NA
Aeromonas_hydrophila;Aeromonas;Proteobacteria;Trimethylamine_N-oxide_reductase_TorA ;826;torA;11293..13773;https://www.ncbi.nlm.nih.gov/protein/WP_011707716.1;https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAGDEM010000006.1
Aeromonas_hydrophila;Aeromonas;Proteobacteria;Trimethylamine_N-oxide_reductase_TorZ;826;torZ;158472..160952;https://www.ncbi.nlm.nih.gov/protein/1548939682;https://www.ncbi.nlm.nih.gov/nuccore/CP028418.1
Aeromonas_jandaei;Aeromonas;Proteobacteria;Trimethylamine_N-oxide_reductase_TorA ;826;torA;158407..160887;https://www.ncbi.nlm.nih.gov/protein/WP_041209568.1;https://www.ncbi.nlm.nih.gov/nuccore/NZ_JFDL01000007.1
Aeromonas_jandaei;Aeromonas;Proteobacteria;Trimethylamine_N-oxide_reductase_TorZ;NA;NA;NA;NA;NA
Aeromonas_media;Aeromonas;Proteobacteria;Trimethylamine_N-oxide_reductase_TorA ;830;torA;141686..144178;https://www.ncbi.nlm.nih.gov/protein/WP_005326571.1;https://www.ncbi.nlm.nih.gov/nuccore/NZ_CAWRFI010000111.1
Aeromonas_media;Aeromonas;Proteobacteria;Trimethylamine_N-oxide_reductase_TorZ;NA;NA;NA;NA;NA
Aeromonas_salmonicida;Aeromonas;Proteobacteria;Trimethylamine_N-oxide_reductase_TorA ;826;torA;9682..12162;https://www.ncbi.nlm.nih.gov/protein/WP_005318522.1;https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAFBAV010000080.1
Aeromonas_salmonicida;Aeromonas;Proteobacteria;Trimethylamine_N-oxide_reductase_TorZ;826;O23A_p3974;4214919..4217399;https://www.ncbi.nlm.nih.gov/protein/ARW84711.1;https://www.ncbi.nlm.nih.gov/nuccore/1202187378
Aeromonas_veronii;Aeromonas;Proteobacteria;Trimethylamine_N-oxide_reductase_TorA ;826;torA;363732..366212;https://www.ncbi.nlm.nih.gov/protein/WP_005339845.1;https://www.ncbi.nlm.nih.gov/nuccore/423202914
Aeromonas_veronii;Aeromonas;Proteobacteria;Trimethylamine_N-oxide_reductase_TorZ;826;torZ;488801..491281;https://www.ncbi.nlm.nih.gov/protein/1789359650;https://www.ncbi.nlm.nih.gov/nuccore/CABWLC010000020.1
Afifella_marina;Afifella;Proteobacteria;Trimethylamine_N-oxide_reductase_TorA ;832;torA;15981..18479;https://www.ncbi.nlm.nih.gov/protein/WP_092815998.1;https://www.ncbi.nlm.nih.gov/nuccore/NZ_NHSC01000018.1
Afifella_marina;Afifella;Proteobacteria;Trimethylamine_N-oxide_reductase_TorZ;NA;NA;NA;NA;NA
Aggregatibacter_actinomycetemcomitans;Aggregatibacter;Proteobacteria;Trimethylamine_N-oxide_reductase_TorA ;826;torA;4999..7479;https://www.ncbi.nlm.nih.gov/protein/WP_005542142.1;https://www.ncbi.nlm.nih.gov/nuccore/NZ_JABJYZ010000030.1
