specie;genus;phylum;protein_name;aa_quantity;gene_name_locus_tag;gene_position;link;gene_genome
Acetobacter_pasteurianus;Acetobacter;Proteobacteria;acetate kinase;400;DB34_11050;2336173..2337375;https://www.ncbi.nlm.nih.gov/protein/AKR49381.1;https://www.ncbi.nlm.nih.gov/nuccore/899753650
Achromobacter_xylosoxidans;Achromobacter;Proteobacteria;acetate kinase;394;HMPREF0005_RS08565;198074..199258;https://www.ncbi.nlm.nih.gov/protein/WP_006385601.1;https://www.ncbi.nlm.nih.gov/nuccore/422319308
Acidobacteriota_bacterium;Acidobacteriota;Acidobacteria;acetate kinase;400;CSA81_11045;14129..15331;https://www.ncbi.nlm.nih.gov/protein/PIE01577.1;https://www.ncbi.nlm.nih.gov/nuccore/1273706455
Acinetobacter_baumannii;Acinetobacter;Proteobacteria;acetate kinase;400;KWY66_RS04990;184..1386;https://www.ncbi.nlm.nih.gov/protein/WP_000235997.1;https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAHUQC010000018.1
Acinetobacter_pittii;Acinetobacter;Proteobacteria;acetate kinase;400;ackA;48830..50032;https://www.ncbi.nlm.nih.gov/protein/EKU69710.1;https://www.ncbi.nlm.nih.gov/nuccore/425700025
Aeromonas_caviae;Aeromonas;Proteobacteria;acetate kinase;399;DA11_14780;12612..13811;https://www.ncbi.nlm.nih.gov/protein/KEP89265.1;https://www.ncbi.nlm.nih.gov/nuccore/662016505
Aeromonas_dhakensis;Aeromonas;Proteobacteria;acetate kinase;399;HMPREF1171_02796;119791..120990;https://www.ncbi.nlm.nih.gov/protein/EKB27318.1;https://www.ncbi.nlm.nih.gov/nuccore/AGWR01000022.1
Aeromonas_hydrophila;Aeromonas;Proteobacteria;acetate kinase;399;AH8_RS0121830;9901..11100;https://www.ncbi.nlm.nih.gov/protein/WP_017411089.1;https://www.ncbi.nlm.nih.gov/nuccore/483524384
Aeromonas_salmonicida;Aeromonas;Proteobacteria;acetate kinase;399;RA180_RS07590;111437..112636;https://www.ncbi.nlm.nih.gov/protein/WP_005318706.1;https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAVCZK010000006.1
Aeromonas_veronii;Aeromonas;Proteobacteria;acetate kinase;399;VPO27_RS17615;19741..20940;https://www.ncbi.nlm.nih.gov/protein/WP_005335525.1;https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAPEFF010000037.1
Aggregatibacter_actinomycetemcomitans;Aggregatibacter;Proteobacteria;acetate kinase;400;LIO00_RS06395;103564..104766;https://www.ncbi.nlm.nih.gov/protein/WP_005542371.1;https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAJHPH010000011.1
Agrobacterium_tumefaciens;Agrobacterium;Proteobacteria;acetate kinase;399;BW45_10860;429..1628;https://www.ncbi.nlm.nih.gov/protein/KAJ33684.1;https://www.ncbi.nlm.nih.gov/nuccore/KK240957.1
Aliarcobacter_butzleri;Aliarcobacter;Proteobacteria;acetate kinase;404;VMR22_RS02655;9184..10398;https://www.ncbi.nlm.nih.gov/protein/WP_004510562.1;https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAUDIR010000004.1
Alistipes_onderdonkii;Alistipes;Bacteroidetes;acetate kinase;400;B5G41_04400;456148..457350;https://www.ncbi.nlm.nih.gov/protein/OUN04554.1;https://www.ncbi.nlm.nih.gov/nuccore/1198415715
Ancylobacter_aquaticus;Ancylobacter;Pseudomonadota;acetate kinase;394;EV667_2704;818298..819482;https://www.ncbi.nlm.nih.gov/protein/TCK28695.1;https://www.ncbi.nlm.nih.gov/nuccore/1588154682
Apilactobacillus_kunkeei;Apilactobacillus;Firmicutes;acetate kinase;396;JI66_05845;89281..90471;https://www.ncbi.nlm.nih.gov/protein/KFJ14909.1;https://www.ncbi.nlm.nih.gov/nuccore/673164895
Aquaspirillum_serpens;Aquaspirillum;Proteobacteria;acetate kinase;391;G465_RS0103030;12943..14118;https://www.ncbi.nlm.nih.gov/protein/WP_022653010.1;https://www.ncbi.nlm.nih.gov/nuccore/550892225
Azospirillum_brasilense;Azospirillum;Proteobacteria;acetate kinase;402;AMK58_03755;829073..830281;https://www.ncbi.nlm.nih.gov/protein/ALJ34607.1;https://www.ncbi.nlm.nih.gov/nuccore/938485835
Azospirillum_lipoferum;Azospirillum;Proteobacteria;acetate kinase;398;SAMN02982994_5756;2962731..2963927;https://www.ncbi.nlm.nih.gov/protein/SMH60814.1;https://www.ncbi.nlm.nih.gov/nuccore/1184425383
