specie;genus;phylum;protein_name;aa_quantity;gene_name_locus_tag;gene_position;link;gene_genome
Absicoccus_porci;Absicoccus;Firmicutes;Butyryl-CoA:acetate_CoA_transferase;450;UHB90_RS02070;10471..11823;https://www.ncbi.nlm.nih.gov/protein/WP_128519732.1;https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAXJPM010000030.1
Acidaminococcus_intestini;Acidaminococcus;Firmicutes;Butyryl-CoA:acetate_CoA_transferase;449;LIQ76_RS02275;111108..112457;https://www.ncbi.nlm.nih.gov/protein/WP_226828432.1;https://www.ncbi.nlm.nih.gov/nuccore/2120680235
Aedoeadaptatus_acetigenes;Aedoeadaptatus;Firmicutes;Butyryl-CoA:acetate_CoA_transferase;446;NA;NA;https://www.ncbi.nlm.nih.gov/protein/1731220473;NA
Aedoeadaptatus_coli;Aedoeadaptatus;Firmicutes;Butyryl-CoA:acetate_CoA_transferase;446;NA;NA;https://www.ncbi.nlm.nih.gov/protein/1387921387;NA
Aedoeadaptatus_pacaensis;Aedoeadaptatus;Firmicutes;Butyryl-CoA:acetate_CoA_transferase;446;NA;NA;https://www.ncbi.nlm.nih.gov/protein/1057046639;NA
Aedoeadaptatus_urinae;Aedoeadaptatus;Firmicutes;Butyryl-CoA:acetate_CoA_transferase;446;NA;NA;https://www.ncbi.nlm.nih.gov/protein/1143083489;NA
Agathobacter_rectalis;Agathobacter;Firmicutes;Butyryl-CoA:acetate_CoA_transferase;446;PNE37_RS09050;6271..7611;https://www.ncbi.nlm.nih.gov/protein/WP_012743830.1;https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAQLYC010000013.1
Anaerobutyricum_hallii;Anaerobutyricum;Firmicutes;Butyryl-CoA:acetate_CoA_transferase;446;LIZ60_RS12700;9033..10373;https://www.ncbi.nlm.nih.gov/protein/WP_021906447.1;https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAJCJL010000043.1
Anaerobutyricum_soehngenii;Anaerobutyricum;Firmicutes;Butyryl-CoA:acetate_CoA_transferase;446;NA;NA;https://www.ncbi.nlm.nih.gov/protein/1727716731;NA
Anaerofustis_stercorihominis;Anaerofustis;Firmicutes;Butyryl-CoA:acetate_CoA_transferase;447;Q5Q95_RS06600;10322..11665;https://www.ncbi.nlm.nih.gov/protein/WP_007049756.1;https://www.ncbi.nlm.nih.gov/nuccore/NZ_CAUFKS010000061.1
Anaeromicropila_populeti;Anaeromicropila;Firmicutes;Butyryl-CoA:acetate_CoA_transferase;445;NA;NA;https://www.ncbi.nlm.nih.gov/protein/1224539524;NA
Anaerosacchariphilus_polymeriproducens;Anaerosacchariphilus;Firmicutes;Butyryl-CoA:acetate_CoA_transferase;446;NA;NA;https://www.ncbi.nlm.nih.gov/protein/1444661613;NA
Anaerosphaera_aminiphila;Anaerosphaera;Firmicutes;Butyryl-CoA:acetate_CoA_transferase;447;NA;NA;https://www.ncbi.nlm.nih.gov/protein/1120318562;NA
Anaerosphaera_multitolerans;Anaerosphaera;Firmicutes;Butyryl-CoA:acetate_CoA_transferase;447;NA;NA;https://www.ncbi.nlm.nih.gov/protein/1553316331;NA
Anaerovorax_odorimutans;Anaerovorax;Firmicutes;Butyryl-CoA:acetate_CoA_transferase;447;NA;NA;https://www.ncbi.nlm.nih.gov/protein/2279401582;NA
Bacilliculturomica_massiliensis;Bacilliculturomica;Firmicutes;Butyryl-CoA:acetate_CoA_transferase;448;NA;NA;https://www.ncbi.nlm.nih.gov/protein/2668562723;NA
Bilifractor_porci;Bilifractor;Firmicutes;Butyryl-CoA:acetate_CoA_transferase;449;NA;NA;https://www.ncbi.nlm.nih.gov/protein/1777829221;NA
Brachyspira_alvinipulli;Brachyspira;Spirochaetota;Butyryl-CoA:acetate_CoA_transferase;448;T324_RS0113090;233468..234814;https://www.ncbi.nlm.nih.gov/protein/WP_028330668.1;https://www.ncbi.nlm.nih.gov/nuccore/654878853
Brachyspira_hampsonii;Brachyspira;Spirochaetota;Butyryl-CoA:acetate_CoA_transferase;448;E6A51_RS01195;256..1602;https://www.ncbi.nlm.nih.gov/protein/WP_008723587.1;https://www.ncbi.nlm.nih.gov/nuccore/NZ_SRZP01000031.1
Brachyspira_hyodysenteriae;Brachyspira;Spirochaetota;Butyryl-CoA:acetate_CoA_transferase;448;JQ830_RS05585;106272..107618;https://www.ncbi.nlm.nih.gov/protein/WP_012671715.1;https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAFCSP010000003.1
Brachyspira_innocens;Brachyspira;Spirochaetota;Butyryl-CoA:acetate_CoA_transferase;449;F811_RS0105300;9694..11043;https://www.ncbi.nlm.nih.gov/protein/WP_020004241.1;https://www.ncbi.nlm.nih.gov/nuccore/486407549
Brachyspira_intermedia;Brachyspira;Spirochaetota;Butyryl-CoA:acetate_CoA_transferase;448;Q0K19_RS11875;232..1578;https://www.ncbi.nlm.nih.gov/protein/WP_297248210.1;https://www.ncbi.nlm.nih.gov/nuccore/NZ_CALXYQ010000042.1
Brachyspira_murdochii;Brachyspira;Spirochaetota;Butyryl-CoA:acetate_CoA_transferase;449;DJ52_RS13330;13257..14606;https://www.ncbi.nlm.nih.gov/protein/WP_104619185.1;https://www.ncbi.nlm.nih.gov/nuccore/1351084983
Brachyspira_pilosicoli;Brachyspira;Spirochaetota;Butyryl-CoA:acetate_CoA_transferase;449;R4J01_RS08480;33389..34738;https://www.ncbi.nlm.nih.gov/protein/WP_014936532.1;https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAWLQK010000021.1
Brachyspira_pulli;Brachyspira;Spirochaetota;Butyryl-CoA:acetate_CoA_transferase;448;R4J02_RS10180;9468..10814;https://www.ncbi.nlm.nih.gov/protein/WP_335756458.1;https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAWLQB010000089.1
Brachyspira_suanatina;Brachyspira;Spirochaetota;Butyryl-CoA:acetate_CoA_transferase;448;NA;NA;https://www.ncbi.nlm.nih.gov/protein/873886503;NA
Campylobacter_magnus;Campylobacter;Proteobacteria;Butyryl-CoA:acetate_CoA_transferase;447;PTQ33_RS06570;55857..57200;https://www.ncbi.nlm.nih.gov/protein/WP_273931006.1;https://www.ncbi.nlm.nih.gov/nuccore/2445868807
Catenisphaera_adipataccumulans;Catenisphaera;Firmicutes;Butyryl-CoA:acetate_CoA_transferase;449;NA;NA;https://www.ncbi.nlm.nih.gov/protein/1890804793;NA
Coprococcus_catus;Coprococcus;Firmicutes;Butyryl-CoA:acetate_CoA_transferase;447;DW747_RS03805;313985..315328;https://www.ncbi.nlm.nih.gov/protein/WP_117539032.1;https://www.ncbi.nlm.nih.gov/nuccore/1468667731
