specie;genus;phylum;protein_name;aa_quantity;gene_name_locus_tag;gene_position;link;gene_genome
Acinetobacter_baumannii;Acinetobacter;Proteobacteria;Propionate_kinase;355;tdcD;43..1110;https://www.ncbi.nlm.nih.gov/protein/SCZ18236.1;https://www.ncbi.nlm.nih.gov/nuccore/1081691767
Aeromonas_allosaccharophila;Aeromonas;Proteobacteria;Propionate_kinase;402;tdcD;37217..38425;https://www.ncbi.nlm.nih.gov/protein/WP_042656212.1;https://www.ncbi.nlm.nih.gov/nuccore/756851550
Aeromonas_jandaei;Aeromonas;Proteobacteria;Propionate_kinase;402;tdcD;444600..445808;https://www.ncbi.nlm.nih.gov/protein/WP_042031542.1;https://www.ncbi.nlm.nih.gov/nuccore/NZ_CDBV01000027.1
Aeromonas_sobria;Aeromonas;Proteobacteria;Propionate_kinase;402;tdcD;45997..47205;https://www.ncbi.nlm.nih.gov/protein/WP_042020715.1;https://www.ncbi.nlm.nih.gov/nuccore/2044613874
Aeromonas_veronii;Aeromonas;Proteobacteria;Propionate_kinase;402;tdcD;161987..163195;https://www.ncbi.nlm.nih.gov/protein/WP_005344025.1;https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAIEYT010000001.1
Alkalispirochaeta_sphaeroplastigenens;Alkalispirochaeta;Spirochaetota;Propionate_kinase;449;AU468_07730;1733..3082;https://www.ncbi.nlm.nih.gov/protein/POR01622.1;https://www.ncbi.nlm.nih.gov/nuccore/1339311906
Atlantibacter_hermannii;Atlantibacter;Proteobacteria;Propionate_kinase;398;SR38_18325;38133..39329;https://www.ncbi.nlm.nih.gov/protein/KIU31409.1;https://www.ncbi.nlm.nih.gov/nuccore/758506724
Caldisericum_exile;Caldisericum;Caldisericota;Propionate_kinase;450;C0189_04070;9965..11317;https://www.ncbi.nlm.nih.gov/protein/PMP66986.1;https://www.ncbi.nlm.nih.gov/nuccore/1327525309
Calditerrivibrio_nitroreducens;Calditerrivibrio;Deferribacterota;Propionate_kinase;415;C0187_00950;4829..6076;https://www.ncbi.nlm.nih.gov/protein/PMP72775.1;https://www.ncbi.nlm.nih.gov/nuccore/1327531477
Citrobacter_amalonaticus;Citrobacter;Proteobacteria;Propionate_kinase;402;DQ02_08040;3902..5110;https://www.ncbi.nlm.nih.gov/protein/KEY49251.1;https://www.ncbi.nlm.nih.gov/nuccore/666379483
Citrobacter_braakii;Citrobacter;Proteobacteria;Propionate_kinase;402;IB70_10785;908289..909497;https://www.ncbi.nlm.nih.gov/protein/KHE04356.1;https://www.ncbi.nlm.nih.gov/nuccore/725511181
Citrobacter_freundii;Citrobacter;Proteobacteria;Propionate_kinase;404;pduW;19848..21062;https://www.ncbi.nlm.nih.gov/protein/CAM57302.1;https://www.ncbi.nlm.nih.gov/nuccore/171854181
Citrobacter_koseri;Citrobacter;Proteobacteria;Propionate_kinase;404;BN1086_00867;864855..866069;https://www.ncbi.nlm.nih.gov/protein/CDZ82780.1;https://www.ncbi.nlm.nih.gov/nuccore/673531252
